Date Key,Date,Day Of Week,Fiscal Year,Fiscal Quarter
20180101,1/1/2018,Monday,FY2018,FQ2
20180102,1/2/2018,Tuesday,FY2018,FQ2
20180103,1/3/2018,Wednesday,FY2018,FQ2
20180104,1/4/2018,Thursday,FY2018,FQ2
20180105,1/5/2018,Friday,FY2018,FQ2
20180106,1/6/2018,Saturday,FY2018,FQ2
20180107,1/7/2018,Sunday,FY2018,FQ2
20180108,1/8/2018,Monday,FY2018,FQ2
20180109,1/9/2018,Tuesday,FY2018,FQ2
20180110,1/10/2018,Wednesday,FY2018,FQ2
20180111,1/11/2018,Thursday,FY2018,FQ2
20180112,1/12/2018,Friday,FY2018,FQ2
20180113,1/13/2018,Saturday,FY2018,FQ2
20180114,1/14/2018,Sunday,FY2018,FQ2
20180115,1/15/2018,Monday,FY2018,FQ2
20180116,1/16/2018,Tuesday,FY2018,FQ2
20180117,1/17/2018,Wednesday,FY2018,FQ2
20180118,1/18/2018,Thursday,FY2018,FQ2
20180119,1/19/2018,Friday,FY2018,FQ2
20180120,1/20/2018,Saturday,FY2018,FQ2
20180121,1/21/2018,Sunday,FY2018,FQ2
20180122,1/22/2018,Monday,FY2018,FQ2
20180123,1/23/2018,Tuesday,FY2018,FQ2
20180124,1/24/2018,Wednesday,FY2018,FQ2
20180125,1/25/2018,Thursday,FY2018,FQ2
20180126,1/26/2018,Friday,FY2018,FQ2
20180127,1/27/2018,Saturday,FY2018,FQ2
20180128,1/28/2018,Sunday,FY2018,FQ2
20180129,1/29/2018,Monday,FY2018,FQ2
20180130,1/30/2018,Tuesday,FY2018,FQ2
20180131,1/31/2018,Wednesday,FY2018,FQ2
20180201,2/1/2018,Thursday,FY2018,FQ2
20180202,2/2/2018,Friday,FY2018,FQ2
20180203,2/3/2018,Saturday,FY2018,FQ2
20180204,2/4/2018,Sunday,FY2018,FQ2
20180205,2/5/2018,Monday,FY2018,FQ2
20180206,2/6/2018,Tuesday,FY2018,FQ2
20180207,2/7/2018,Wednesday,FY2018,FQ2
20180208,2/8/2018,Thursday,FY2018,FQ2
20180209,2/9/2018,Friday,FY2018,FQ2
20180210,2/10/2018,Saturday,FY2018,FQ2
20180211,2/11/2018,Sunday,FY2018,FQ2
